ID,Genre,Auteur,Prénom Auteur,Nom Auteur,Type,Public,Année de Publication,Nationalité Auteur,Pays Maison Edition,Ville Maison Edition,Complement Adresse Maison Edition,Date Creation Maison Edition,Mail Maison Edition,Num Telephone Maison Edition,Site Web Maison Edition
1,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1930,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
2,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1931,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
3,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1932,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
4,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1934,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
5,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1935,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
6,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1936,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
7,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1937,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
8,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1938,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
9,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1939,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
10,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1940,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
11,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1941,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
12,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1943,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
13,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1944,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
14,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1946,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
15,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1948,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
16,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1950,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
17,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1953,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
18,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1954,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
19,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1958,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
20,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1960,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
20,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1960,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
21,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1961,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
22,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1964,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
23,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1968,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/
24,Aventure,Hergé,Georges,Remi,Bande dessinée,Jeunesse,1983,Belge,Belgique,Casterman,Tournai,Rue du Dragon 7,1942,[adresse e-mail supprimée],+32 69 22 32 00,https://www.casterman.com/